Robert Alai
Xtian Dela
Cyprian Nyakundi
Andrew Kibe
Brian Mbunde 
Ory Okolloh Mwangi
Caroline Spenser
RamzZy
KResearcher
Gathara
Owaahh
KinyanBoy
ItsMutai
MediaMK
iwateba
LencerB
Kaluhi’s Kitchen
AishaWanjiku
Mwirigi
Victor Matara
ColdTusker
RookieKE
AkenyanGirl
FionaTheArtist
Droid254
Stephen Musyoka
Lord Gichohi
Gicheru Gicheru
Adam Maina
Gitz
Ednahjacksons
Masaku
Moseax
MutukuKE
Iam Bett
Ronoh Kechem
Elijah Kyama
Wangwe
Frank Obegi
DJ Joe Mfalme
Tukei
Canduh
Amina Kenya
Mwalimu Rachael
Zawadi Nyongo
Soko Analyst
Kinanga Davis
Queen Gathoni
Chief Kariuki
Dr. Paula Kahumbu
Sir Alexas
Bonface Mwangi
